Name,Age,Score
Alex Smith,27,86
Jordan Brown,30,29
Taylor Miller,30,3
Morgan Moore,26,8
Casey Thomas,25,91
Jamie Harris,26,63
Avery Young,26,95
Riley Johnson,30,49
Cameron Jones,30,1
Drew Davis,26,31
Sam Taylor,28,72
Chris Jackson,30,33
Pat Martin,26,88
Lee King,30,33
Robin Williams,30,93
Skyler Garcia,30,19
Dakota Wilson,26,97
Quinn Anderson,25,48
Blake White,25,78
Logan Thompson,25,50
Alex Smith,28,40
Jordan Brown,30,22
Taylor Miller,30,66
Morgan Moore,28,81
Casey Thomas,29,13
Jamie Harris,30,68
Avery Young,29,18
Riley Johnson,30,42
Cameron Jones,29,27
Drew Davis,27,45
Sam Taylor,28,33
Chris Jackson,30,58
Pat Martin,30,27
Lee King,27,37
Robin Williams,30,9
Skyler Garcia,27,19
Dakota Wilson,30,98
Quinn Anderson,27,83
Blake White,25,3
Logan Thompson,30,53
Alex Smith,27,65
Jordan Brown,29,94
Taylor Miller,28,36
Morgan Moore,29,25
Casey Thomas,30,63
Jamie Harris,26,13
Avery Young,30,91
Riley Johnson,30,26
Cameron Jones,27,85
Drew Davis,29,43
Sam Taylor,30,67
Chris Jackson,26,75
Pat Martin,28,70
Lee King,30,12
Robin Williams,26,100
Skyler Garcia,26,36
Dakota Wilson,25,70
Quinn Anderson,30,29
Blake White,27,59
Logan Thompson,29,10
Alex Smith,29,79
Jordan Brown,27,76
Taylor Miller,29,81
Morgan Moore,27,95
Casey Thomas,26,83
Jamie Harris,30,21
Avery Young,28,15
Riley Johnson,27,60
Cameron Jones,30,4
Drew Davis,26,33
Sam Taylor,26,70
Chris Jackson,26,97
Pat Martin,28,86
Lee King,28,74
Robin Williams,29,6
Skyler Garcia,28,21
Dakota Wilson,28,14
Quinn Anderson,26,22
Blake White,28,81
Logan Thompson,30,98
Alex Smith,26,79
Jordan Brown,26,97
Taylor Miller,29,99
Morgan Moore,28,10
Casey Thomas,29,83
Jamie Harris,25,25
Avery Young,29,97
Riley Johnson,29,78
Cameron Jones,26,88
Drew Davis,30,27
Sam Taylor,28,61
Chris Jackson,26,4
Pat Martin,25,79
Lee King,25,93
Robin Williams,25,39
Skyler Garcia,26,17
Dakota Wilson,26,55
Quinn Anderson,29,39
Blake White,29,67
Logan Thompson,27,72
